,apparent_magnitude,bayer_designation,distance,mass,name,radius,spectral_class
185,,,47.0,0.056320220000000004,2MASS J14482563+1031590,0.10173536999999999,
186,,,104.0,0.010595838,CFBDSIR 1458+10,0.1541445,
187,,,104.0,0.00859122,CFBDSIR 1458+10,0.13359189999999999,
188,,,35.1,0.0715935,TVLM 513-46546,0.10790115,
189,,,20.7,0.04200152,2MASS 1503+2525,0.09659721999999998,
190,,,46.0,0.06586602,2MASSW J1506544+132106,0.10481826,
191,,,23.9,0.0572748,2MASS 1507−1627,0.10173536999999999,
192,,,89.0,,SDSS J151114.66+060742.9,,
193,,,34.0,0.05441106,2MASSW J1515008+484742,0.10173536999999999,
194,,,67.0,0.05154732,2MASSI J1526140+204341,0.10070773999999999,
195,,,51.0,0.060138540000000004,DENIS-P J153941.96-052042.4,0.102763,
196,,,37.0,0.04200152,2MASS J15462718-3325111,0.09659721999999998,
197,,,68.0,0.0286374,2MASSW J1552591+294849,0.14695108999999998,
198,,,44.0,0.06777518,2MASSW J1555157-095605,0.10584589,
199,,,48.0,0.04009236,2MASS J16150413+1340079,0.09659721999999998,
200,,,36.0,0.041046940000000004,SDSSp J162414.37+002915.6,0.09659721999999998,
201,,,110.0,0.06777518,2MASS J16262034+3925190,0.10584589,
202,,,50.0,0.04677442,2MASSW J1632291+190441,0.09968010999999999,
203,,,60.0,0.06968434,LSPM J1658+7027,0.10687352,
204,,,18.5,0.07350266,LSR J1835+3259,0.10995641,
205,,,80.0,0.00620477,PSO J318.5−22,0.15722739,
206,,,32.1,0.04391068,2MASS J21392676+0220226,0.09865247999999999,
207,,,35.0,0.04009236,2MASS J22282889-4310262,0.09659721999999998,
208,,,23.2,,WISE 0005+3737,,
209,,,24.1,,WISE 0049+2151,,
210,,,57.7,,WISE 0138-0322,,
211,,,20.5,,WISE 0146+4234,,
212,,,30.0,,WISE 0148-7202,,
213,,,28.0,,WISE 0313+7807,,
214,,,106.3,,WISE 0316+4307,,
215,,,54.8,,WISE 0333-5856,,
216,,,17.7,,WISE 0350-5658,,
